@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N 40-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 40-weka.filters.MultiFilter-Fweka.filters.supervised.attribute.AttributeSelection -E \"weka.attributeSelection.CfsSubsetEval \" -S \"weka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N 40\"-Fweka.filters.supervised.attribute.AttributeSelection -E \"weka.attributeSelection.ChiSquaredAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 40\"'

@attribute F0finEnv_sma_quartile2 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_quartile1 numeric
@attribute F0finEnv_sma_linregc2 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute mfcc_sma[12]_amean numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute mfcc_sma[12]_quartile1 numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute lspFreq_sma[7]_quartile2 numeric
@attribute lspFreq_sma[7]_quartile1 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute lspFreq_sma_de[4]_percentile99.0 numeric
@attribute F0finEnv_sma_de_linregc1 numeric
@attribute lspFreq_sma_de[5]_pctlrange0-1 numeric
@attribute mfcc_sma[12]_percentile1.0 numeric
@attribute mfcc_sma[12]_percentile99.0 numeric
@attribute lspFreq_sma[4]_skewness numeric
@attribute mfcc_sma[2]_iqr1-2 numeric
@attribute voicingFinalUnclipped_sma_quartile2 numeric
@attribute mfcc_sma[5]_linregerrA numeric
@attribute mfcc_sma[2]_pctlrange0-1 numeric
@attribute lspFreq_sma[6]_skewness numeric
@attribute mfcc_sma[10]_quartile3 numeric
@attribute mfcc_sma[10]_amean numeric
@attribute jitterDDP_sma_de_linregc1 numeric
@attribute mfcc_sma[13]_percentile99.0 numeric
@attribute mfcc_sma_de[9]_percentile99.0 numeric
@attribute gender {m,f}

@data
85.1953,90.67242,78.83139,83.71571,82.17622,96.7746,92.13988,67.59229,61.71743,278.8507,0.763222,0.763222,-13.06369,-21.59546,12.97392,-9.746716,0.031057,6.534167,11.0817,-3.420539,-50.50486,2.25947,2.157674,2.226714,0.11022,0.006723,0.185874,-18.58331,36.45871,0.070812,8.637102,0.699242,13.91171,89.02628,-0.517698,38.38051,29.3333,-0.000004,26.75025,9.385975,m
75.31651,103.7301,75.19933,75.46751,75.20982,82.01839,82.67909,49.99268,175.8272,591.9138,0.743622,0.743622,6.863008,0.691693,48.1133,-1.249097,0.04051,-5.573528,-5.083259,-14.43795,-25.44826,2.196675,2.147462,2.228871,0.152441,0.009026,0.277027,-62.37381,28.75274,-0.026123,16.0745,0.671151,14.83855,76.84392,-1.042111,25.45069,14.38741,-0.000005,33.893,11.22545,m
157.9904,155.7852,149.8072,154.7661,138.3274,162.4034,166.1118,131.3585,159.2357,181.4343,0.806701,0.806701,-1.745398,-2.309394,21.07726,-12.19896,0.029844,-6.599481,-14.60571,-13.00277,-24.76087,2.31389,2.289874,2.31682,0.088535,-0.012566,0.215814,-36.06731,17.86944,0.378142,6.518946,0.730682,9.061778,33.22139,-0.55658,11.60511,4.439179,-0.000003,30.46593,7.718767,m
155.5559,151.1718,143.6813,155.8189,146.1227,167.1248,163.1215,144.5008,150.7247,180.3859,0.810438,0.810438,3.340534,-2.766296,35.50279,-15.22143,0.028858,-7.185765,-6.393608,-13.89464,-10.72361,2.31084,2.293908,2.309564,0.087985,-0.010399,0.165164,-31.37413,11.22982,0.368613,7.379845,0.737155,10.83951,29.30837,-1.984493,6.664435,-0.057871,-0.000003,27.70899,6.23068,m
178.3344,182.3835,164.4555,170.9234,164.1813,194.5983,195.2547,154.8407,186.1136,226.3316,0.860446,0.638159,-23.4031,-24.98917,21.48582,-19.90564,0.019379,3.507802,6.584042,-10.39726,-50.66158,2.280583,2.237847,2.280565,0.147754,-0.003743,0.170798,-32.66566,40.63697,-0.503986,15.93038,0.770106,20.88966,92.11559,-0.709321,17.9891,7.280734,0,8.612755,12.12132,f
184.4074,186.4359,167.6214,169.2358,166.1079,195.2771,201.4514,140.6079,220.8777,269.0298,0.843559,0.432249,-22.07057,-26.44682,2.053716,-22.15469,0.020409,4.907186,2.011786,-1.732707,-50.78806,2.339077,2.293494,2.32675,0.130981,-0.010846,0.145109,-31.04066,26.04408,-0.543702,15.71817,0.776571,17.59615,93.62845,-0.977374,8.059252,0.075129,-0.000002,18.92603,11.13549,f
144.0229,150.0332,140.0607,142.2267,134.7382,155.8433,157.7059,135.9843,139.4196,182.1505,0.821558,0.597784,-15.75135,-17.73318,24.47351,-19.64484,0.032978,7.826469,16.96819,-3.414453,-49.41499,2.319394,2.252817,2.293385,0.306319,-0.003815,0.280977,-24.77352,39.35875,0.409417,18.45263,0.756917,22.14959,81.29608,-0.32092,23.84905,9.949425,-0.000002,22.13383,11.76805,f
164.3444,167.058,143.6971,154.452,154.9052,189.343,188.6004,137.2197,168.8275,214.9184,0.825191,0.60339,-22.3813,-27.1949,10.35425,-19.46663,0.027289,8.608191,11.41855,-3.928834,-70.29323,2.318472,2.223852,2.290273,0.111466,-0.013097,0.202768,-27.52912,44.82856,0.200571,12.58388,0.768753,20.72881,78.0224,-0.244932,12.70428,4.740367,-0.000003,10.79617,12.66709,f
172.3238,181.4931,166.2568,168.703,158.268,178.1256,188.9094,132.2065,188.3273,260.0886,0.833481,0.833481,-5.919448,-6.994024,20.53287,-21.31869,0.020483,-2.753984,-3.573517,-7.731627,-39.37365,2.296154,2.264448,2.295056,0.106684,-0.008718,0.159314,-22.13127,16.02102,1.337874,8.561007,0.743365,13.65456,53.32168,-0.090196,7.532142,-3.662489,-0.000002,30.79777,6.741243,f
204.7853,215.6307,185.6142,187.2444,192.7132,231.0234,240.1845,161.0371,248.1424,345.2273,0.848636,0.848636,-14.0184,-22.29605,12.31262,-24.39691,0.019234,-2.74332,-0.160749,-9.084631,-40.72074,2.347627,2.29378,2.327875,0.060964,-0.012651,0.132827,-23.89362,21.99209,0.769556,7.106863,0.774877,11.48969,54.30397,-0.955167,6.452042,-2.237488,0,27.86161,6.890835,f
